{'loss': 1.5885, 'grad_norm': 2.9911139011383057, 'learning_rate': 1.3400000000000002e-05, 'num_tokens': 17408.0, 'mean_token_accuracy': 0.6281800270080566, 'epoch': 0.03}
{'loss': 1.666, 'grad_norm': 3.1615118980407715, 'learning_rate': 1.3200000000000002e-05, 'num_tokens': 17920.0, 'mean_token_accuracy': 0.5636007785797119, 'epoch': 0.03}
{'loss': 1.7786, 'grad_norm': 3.226517677307129, 'learning_rate': 1.3000000000000001e-05, 'num_tokens': 18432.0, 'mean_token_accuracy': 0.6046966910362244, 'epoch': 0.04}
{'loss': 1.409, 'grad_norm': 3.3356592655181885, 'learning_rate': 1.2800000000000001e-05, 'num_tokens': 18944.0, 'mean_token_accuracy': 0.6223092079162598, 'epoch': 0.04}
{'loss': 2.1844, 'grad_norm': 3.3374667167663574, 'learning_rate': 1.2600000000000001e-05, 'num_tokens': 19456.0, 'mean_token_accuracy': 0.5185909867286682, 'epoch': 0.04}
{'loss': 2.139, 'grad_norm': 4.344271183013916, 'learning_rate': 1.2400000000000002e-05, 'num_tokens': 19773.0, 'mean_token_accuracy': 0.5379746556282043, 'epoch': 0.04}
{'loss': 1.6645, 'grad_norm': 3.5893630981445312, 'learning_rate': 1.22e-05, 'num_tokens': 20285.0, 'mean_token_accuracy': 0.5636007785797119, 'epoch': 0.04}
{'loss': 2.4056, 'grad_norm': 3.770219326019287, 'learning_rate': 1.2e-05, 'num_tokens': 20789.0, 'mean_token_accuracy': 0.5666003823280334, 'epoch': 0.04}
{'loss': 1.2557, 'grad_norm': 3.141641139984131, 'learning_rate': 1.18e-05, 'num_tokens': 21301.0, 'mean_token_accuracy': 0.6673189997673035, 'epoch': 0.04}
{'loss': 2.9201, 'grad_norm': 3.5514791011810303, 'learning_rate': 1.16e-05, 'num_tokens': 21813.0, 'mean_token_accuracy': 0.48532289266586304, 'epoch': 0.04}
{'loss': 2.6914, 'grad_norm': 3.6014468669891357, 'learning_rate': 1.14e-05, 'num_tokens': 22325.0, 'mean_token_accuracy': 0.46771037578582764, 'epoch': 0.04}
{'loss': 2.267, 'grad_norm': 3.3945438861846924, 'learning_rate': 1.1200000000000001e-05, 'num_tokens': 22837.0, 'mean_token_accuracy': 0.5322896242141724, 'epoch': 0.04}
{'loss': 2.9801, 'grad_norm': 4.006796836853027, 'learning_rate': 1.1000000000000001e-05, 'num_tokens': 23349.0, 'mean_token_accuracy': 0.42465752363204956, 'epoch': 0.04}
{'loss': 1.9579, 'grad_norm': 3.170442581176758, 'learning_rate': 1.0800000000000002e-05, 'num_tokens': 23861.0, 'mean_token_accuracy': 0.5381604433059692, 'epoch': 0.05}
{'loss': 1.4928, 'grad_norm': 3.572807788848877, 'learning_rate': 1.0600000000000002e-05, 'num_tokens': 24311.0, 'mean_token_accuracy': 0.6124721765518188, 'epoch': 0.05}
{'loss': 3.3978, 'grad_norm': 3.5776031017303467, 'learning_rate': 1.04e-05, 'num_tokens': 24823.0, 'mean_token_accuracy': 0.3679060637950897, 'epoch': 0.05}
{'loss': 1.4146, 'grad_norm': 3.2747962474823, 'learning_rate': 1.02e-05, 'num_tokens': 25335.0, 'mean_token_accuracy': 0.6203522682189941, 'epoch': 0.05}
